"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"19,40";"IARA : FERTILIZANTE FORTH JARDIM400g SAMANBAIAS";"16159";"UN 1";"1,000";"17,99";"0,05";"13,09";"0,14";"72,75";"";"100,00";"13,09";"0,14";"72,75";"0,001";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"4,90";"3,24";"0,30";"1,37";"0,00";"0,00";"0,02";"0,16";"0,00"
"19,40";"IARA : FERTILIZANTE MATO VERDE OURO 500g VERDE";"6920";"UN 1";"0,037";"1,11";"0,00";"0,20";"0,00";"17,83";"82,09";"45,08";"0,20";"0,00";"17,83";"0,000";"0,00";"0,000";"0,61";"0,61";"0,00";"0,00";"0,30";"0,20";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,42";"IARA : FILME PVC FACILITA&PRONTO 28cmX200m C/TRILHO";"12181";"UN 1";"0,110";"5,49";"0,02";"1,23";"0,01";"22,38";"47,72";"32,31";"1,23";"0,01";"22,38";"0,069";"0,00";"0,000";"3,71";"2,76";"0,00";"0,00";"1,50";"0,99";"0,09";"0,42";"0,00";"0,00";"0,01";"0,05";"0,00"
"19,43";"IARA : FIO DENTAL COLGATE 50 mts MENTA";"3381";"UN 1";"0,232";"4,65";"0,01";"1,28";"0,01";"27,47";"58,02";"36,72";"1,28";"0,01";"27,47";"0,005";"0,00";"0,005";"2,94";"2,94";"0,00";"0,00";"0,43";"0,00";"0,08";"0,35";"0,00";"0,00";"0,00";"0,04";"0,00"
"19,45";"IARA : FIO DENTAL DENTIL LV100mts PG50mts PREMIUM";"1109";"UN 1";"0,692";"7,61";"0,02";"3,44";"0,04";"45,23";"119,69";"54,48";"3,44";"0,04";"45,23";"0,021";"0,00";"0,069";"3,46";"3,46";"0,00";"0,00";"0,70";"0,00";"0,13";"0,58";"0,00";"0,00";"0,01";"0,07";"0,00"
"19,48";"IARA : FIO DENTAL JADEFROG POP 100M+25M GT ";"6248";"UN 1";"0,820";"9,01";"0,03";"2,76";"0,03";"30,66";"66,41";"39,91";"2,76";"0,03";"30,66";"0,021";"0,00";"0,001";"5,42";"5,42";"0,00";"0,00";"0,83";"0,00";"0,15";"0,69";"0,00";"0,00";"0,00";"0,03";"0,00"
"19,52";"IARA : FIO DENTAL JOHNSON´S REACH 100mts ESSENCIAL";"6325";"UN 1";"0,738";"14,75";"0,04";"3,80";"0,04";"25,77";"53,89";"35,02";"3,80";"0,04";"25,77";"0,015";"0,00";"0,074";"9,58";"9,58";"0,00";"0,00";"1,36";"0,00";"0,24";"1,12";"0,00";"0,00";"0,01";"0,13";"0,00"
"19,52";"IARA : FIO DENTAL ORAL-B MENTA 25 mts";"8811";"UN 1";"0,019";"0,38";"0,00";"0,34";"0,00";"90,75";"";"100,00";"0,34";"0,00";"90,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,52";"IARA : FIO DENTAL SANIFILL CLÁSSICO 125mts LV+PG- MENTA";"11184";"UN 1";"0,094";"1,51";"0,00";"0,47";"0,00";"30,84";"66,91";"40,09";"0,47";"0,00";"30,84";"0,003";"0,00";"0,002";"0,90";"0,90";"0,00";"0,00";"0,14";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,52";"IARA : FITA SCOTCH CORTA FÁCIL";"2385";"UN 1";"0,010";"0,16";"0,00";"0,12";"0,00";"72,75";"";"100,00";"0,12";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,04";"0,03";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,52";"IARA : FLANELA MINE CONFECÇÕES 37X57cm OURO";"8525";"UN 1";"0,198";"1,18";"0,00";"0,30";"0,00";"25,17";"110,18";"52,42";"0,30";"0,00";"25,17";"0,006";"0,00";"0,020";"0,56";"0,56";"0,00";"0,00";"0,32";"0,21";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
