"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"0,01";"CARLIN : ABACAXI PEDAÇOS COPO KG";"617";"KG 1";"0,145";"2,91";"0,01";"0,89";"0,01";"30,72";"66,58";"39,97";"0,89";"0,01";"30,72";"0,000";"0,00";"0,000";"1,74";"1,74";"0,00";"0,00";"0,27";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABACAXI REDE UNID";"17202";"UN 1";"0,226";"2,03";"0,01";"0,15";"0,00";"7,32";"19,87";"16,57";"0,15";"0,00";"7,32";"0,440";"0,03";"0,000";"1,70";"1,70";"0,00";"0,00";"0,19";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABACAXI S/CASCA FAT KG";"619";"KG 1";"0,025";"0,30";"0,00";"0,15";"0,00";"49,05";"139,80";"58,30";"0,15";"0,00";"49,05";"0,000";"0,00";"0,000";"0,13";"0,13";"0,00";"0,00";"0,03";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABOBRINHA RALADA KG";"110";"KG 1";"0,017";"0,15";"0,00";"0,04";"0,00";"27,90";"59,12";"37,15";"0,04";"0,00";"27,90";"0,000";"0,00";"0,000";"0,10";"0,10";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,04";"CARLIN : ABÓBORA DOCE KG";"116";"KG 1";"1,425";"7,11";"0,02";"1,04";"0,01";"14,60";"31,32";"23,85";"1,04";"0,01";"14,60";"0,001";"0,00";"0,001";"5,42";"5,42";"0,00";"0,00";"0,66";"0,00";"0,12";"0,54";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,06";"CARLIN : ALHO AMEI TRITURADO PT 400g";"1390";"UN 1";"0,957";"7,65";"0,02";"2,30";"0,02";"30,04";"72,16";"41,91";"2,30";"0,02";"30,04";"0,388";"0,03";"0,383";"4,44";"4,11";"0,00";"0,00";"1,24";"0,54";"0,13";"0,58";"0,00";"0,00";"0,00";"0,03";"0,00"
"0,10";"CARLIN : ALHO DESCASCADO NATARI 1Kg";"13553";"UN 1";"0,421";"14,73";"0,04";"1,98";"0,02";"13,44";"32,28";"24,40";"1,98";"0,02";"13,44";"0,424";"0,03";"0,000";"11,14";"10,36";"0,00";"0,00";"2,39";"1,03";"0,24";"1,12";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,13";"CARLIN : ALHO TRITURADO S/SAL ALHO FÁCIL 1Kg";"819";"UN 1";"0,442";"9,73";"0,03";"2,04";"0,02";"21,01";"75,92";"43,16";"2,04";"0,02";"21,01";"0,465";"0,03";"0,442";"5,53";"5,03";"0,00";"0,00";"2,65";"1,75";"0,16";"0,74";"0,00";"0,00";"0,00";"0,04";"0,00"
"0,27";"CARLIN : AMEIXA IMPORTADA KG";"285";"KG 1";"1,677";"48,63";"0,14";"10,58";"0,11";"21,76";"44,95";"31,01";"10,58";"0,11";"21,76";"0,002";"0,00";"0,002";"33,55";"33,55";"0,00";"0,00";"4,50";"0,00";"0,80";"3,70";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,60";"CARLIN : AMEIXA NACIONAL BDJ 500g";"21726";"UN 1";"13,950";"111,46";"0,33";"34,19";"0,36";"30,67";"66,46";"39,92";"34,19";"0,36";"30,67";"7,491";"0,53";"0,014";"66,96";"66,96";"0,00";"0,00";"10,31";"0,00";"1,84";"8,47";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,61";"CARLIN : AMORA L & J CONGELADA 1,02Kg";"13552";"UN 1";"0,070";"2,80";"0,01";"2,04";"0,02";"72,75";"";"100,00";"2,04";"0,02";"72,75";"0,071";"0,01";"0,071";"0,00";"0,00";"0,00";"0,00";"0,76";"0,50";"0,05";"0,21";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,61";"CARLIN : ATEMOIA KG";"287";"KG 1";"0,017";"0,33";"0,00";"0,08";"0,00";"24,93";"51,92";"34,18";"0,08";"0,00";"24,93";"0,000";"0,00";"0,000";"0,22";"0,22";"0,00";"0,00";"0,03";"0,00";"0,01";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,61";"CARLIN : BATATA COAL PCT 1Kg";"18770";"UN 1";"0,442";"1,32";"0,00";"0,08";"0,00";"5,86";"49,50";"33,11";"0,08";"0,00";"5,86";"0,000";"0,00";"0,000";"0,88";"0,88";"0,00";"0,00";"0,36";"0,24";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"0,61";"CARLIN : BATATA PACOTE Kg";"313";"KG 1";"0,009";"0,02";"0,00";"0,00";"0,00";"19,07";"39,50";"28,32";"0,00";"0,00";"19,07";"0,000";"0,00";"0,000";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,69";"CARLIN : CAJU BANDEJA 350g";"17886";"UN 1";"2,333";"27,98";"0,08";"4,97";"0,05";"17,77";"37,03";"27,02";"4,97";"0,05";"17,77";"0,002";"0,00";"0,002";"20,42";"20,42";"0,00";"0,00";"2,59";"0,00";"0,46";"2,13";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,69";"CARLIN : CAQUI Kg";"331";"KG 1";"0,009";"0,08";"0,00";"0,01";"0,00";"7,32";"19,87";"16,57";"0,01";"0,00";"7,32";"0,000";"0,00";"0,000";"0,06";"0,06";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,70";"CARLIN : CARAMBOLA Kg";"333";"KG 1";"0,196";"2,55";"0,01";"1,00";"0,01";"39,40";"94,75";"48,65";"1,00";"0,01";"39,40";"0,000";"0,00";"0,000";"1,31";"1,31";"0,00";"0,00";"0,24";"0,00";"0,04";"0,19";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,73";"CARLIN : CEBOLA GRAÚDA BRANCA Kg";"339";"KG 1";"2,438";"8,51";"0,03";"7,72";"0,08";"90,75";"";"100,00";"7,72";"0,08";"90,75";"0,002";"0,00";"0,002";"0,00";"0,00";"0,00";"0,00";"0,79";"0,00";"0,14";"0,65";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,74";"CARLIN : CEBOLA MIÚDA ARANDA PCT 1Kg";"18760";"UN 1";"0,756";"3,02";"0,01";"0,62";"0,01";"20,57";"42,50";"29,82";"0,62";"0,01";"20,57";"0,795";"0,06";"0,001";"2,12";"2,12";"0,00";"0,00";"0,28";"0,00";"0,05";"0,23";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,74";"CARLIN : CENOURA BABY PCT 250g";"19355";"KG 1";"0,032";"0,38";"0,00";"0,06";"0,00";"15,69";"33,22";"24,94";"0,06";"0,00";"15,69";"0,000";"0,00";"0,000";"0,29";"0,29";"0,00";"0,00";"0,04";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,75";"CARLIN : CENOURA ESPIGA DE OURO 450g";"19500";"UN 1";"0,943";"2,82";"0,01";"1,05";"0,01";"37,24";"86,88";"46,49";"1,05";"0,01";"37,24";"0,464";"0,03";"0,001";"1,51";"1,51";"0,00";"0,00";"0,26";"0,00";"0,05";"0,21";"0,00";"0,00";"0,00";"0,03";"0,00"
"0,75";"CARLIN : CENOURA RALADA Kg ";"343";"KG 1";"0,285";"1,42";"0,00";"0,51";"0,01";"35,64";"81,45";"44,89";"0,51";"0,01";"35,64";"0,000";"0,00";"0,000";"0,78";"0,78";"0,00";"0,00";"0,13";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,53";"CARLIN : CEREJA Kg";"344";"KG 1";"8,002";"263,97";"0,78";"63,52";"0,67";"24,06";"49,95";"33,31";"63,52";"0,67";"24,06";"0,008";"0,00";"0,008";"176,03";"176,03";"0,00";"0,00";"24,42";"0,00";"4,36";"20,06";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,53";"CARLIN : CESCA PICADINHOS 100g COUVE-FLOR/BRÓC";"18730";"UN 1";"0,139";"0,70";"0,00";"0,14";"0,00";"20,61";"42,57";"29,86";"0,14";"0,00";"20,61";"0,024";"0,00";"0,000";"0,49";"0,49";"0,00";"0,00";"0,06";"0,00";"0,01";"0,05";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,53";"CARLIN : CESCA PICADINHOS 100g ESPINAFRE";"18848";"UN 1";"0,020";"0,10";"0,00";"0,09";"0,00";"90,75";"";"100,00";"0,09";"0,00";"90,75";"0,003";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,57";"CARLIN : CESCA PICADINHOS 200g CABOTIÁ";"18879";"UN 1";"2,751";"13,73";"0,04";"2,83";"0,03";"20,61";"42,57";"29,86";"2,83";"0,03";"20,61";"0,916";"0,06";"0,003";"9,63";"9,63";"0,00";"0,00";"1,27";"0,00";"0,23";"1,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,57";"CARLIN : CESCA PICADINHOS 200g QUIABO";"18886";"UN 1";"0,100";"0,50";"0,00";"0,10";"0,00";"20,61";"42,57";"29,86";"0,10";"0,00";"20,61";"0,033";"0,00";"0,000";"0,35";"0,35";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,63";"CARLIN : CESCA PICADINHOS 250g LEGUMES SOPA";"18900";"UN 1";"4,184";"20,88";"0,06";"4,30";"0,05";"20,61";"42,57";"29,86";"4,30";"0,05";"20,61";"1,477";"0,10";"0,004";"14,64";"14,64";"0,00";"0,00";"1,93";"0,00";"0,34";"1,59";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,63";"CARLIN : CESCA PICADINHOS 70g SALSÃO";"18866";"UN 1";"0,054";"0,27";"0,00";"0,06";"0,00";"20,61";"42,57";"29,86";"0,06";"0,00";"20,61";"0,007";"0,00";"0,000";"0,19";"0,19";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,63";"CARLIN : COCO SECO POLPA COPO KG";"348";"KG 1";"0,009";"0,30";"0,00";"0,13";"0,00";"41,78";"104,21";"51,03";"0,13";"0,00";"41,78";"0,000";"0,00";"0,000";"0,15";"0,15";"0,00";"0,00";"0,03";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,66";"CARLIN : DEVAIR CAJURU UNID COUVE";"18957";"UN 1";"1,340";"9,37";"0,03";"3,14";"0,03";"33,53";"74,75";"42,78";"3,14";"0,03";"33,53";"0,378";"0,03";"0,001";"5,36";"5,36";"0,00";"0,00";"0,87";"0,00";"0,15";"0,71";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,76";"CARLIN : DEVAIR CAJURU UNID RÚCULA";"18961";"UN 1";"4,650";"32,50";"0,10";"10,90";"0,11";"33,53";"74,75";"42,78";"10,90";"0,11";"33,53";"1,311";"0,09";"0,005";"18,60";"18,60";"0,00";"0,00";"3,01";"0,00";"0,54";"2,47";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,76";"CARLIN : EMBALADO CAJU KG";"652";"KG 1";"0,017";"0,28";"0,00";"0,06";"0,00";"23,52";"48,74";"32,77";"0,06";"0,00";"23,52";"0,000";"0,00";"0,000";"0,19";"0,19";"0,00";"0,00";"0,03";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,76";"CARLIN : EMBALADO MAMÃO FORMOSA KG";"675";"KG 1";"0,034";"0,17";"0,00";"0,06";"0,00";"35,64";"81,45";"44,89";"0,06";"0,00";"35,64";"0,000";"0,00";"0,000";"0,09";"0,09";"0,00";"0,00";"0,02";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,76";"CARLIN : EMBALADO MAMÃO PAPAYA KG";"676";"KG 1";"0,017";"0,11";"0,00";"0,03";"0,00";"29,93";"64,41";"39,18";"0,03";"0,00";"29,93";"0,000";"0,00";"0,000";"0,07";"0,07";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,76";"CARLIN : FIGO ROXO 300g";"18910";"UN 1";"0,028";"0,56";"0,00";"0,32";"0,00";"57,40";"199,85";"66,65";"0,32";"0,00";"57,40";"0,010";"0,00";"0,000";"0,19";"0,19";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,80";"CARLIN : FIGO ROXO SR FRUTAS 350g";"18836";"UN 1";"1,000";"12,99";"0,04";"3,46";"0,04";"26,62";"55,94";"35,87";"3,46";"0,04";"26,62";"0,001";"0,00";"0,001";"8,33";"8,33";"0,00";"0,00";"1,20";"0,00";"0,21";"0,99";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,83";"CARLIN : FIGO ROXO VALINHOS 300g";"18845";"UN 1";"0,385";"9,23";"0,03";"2,60";"0,03";"28,22";"59,93";"37,47";"2,60";"0,03";"28,22";"0,000";"0,00";"0,000";"5,77";"5,77";"0,00";"0,00";"0,85";"0,00";"0,15";"0,70";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,85";"CARLIN : FRUTAS VERMELHAS L & J CONG 1,02Kg";"13555";"UN 1";"0,140";"5,88";"0,02";"4,28";"0,05";"72,75";"";"100,00";"4,28";"0,05";"72,75";"0,143";"0,01";"0,143";"0,00";"0,00";"0,00";"0,00";"1,60";"1,06";"0,10";"0,45";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,86";"CARLIN : KIWI PEDAÇOS COPO KG";"376";"KG 1";"0,060";"2,41";"0,01";"0,63";"0,01";"26,18";"54,88";"35,43";"0,63";"0,01";"26,18";"0,000";"0,00";"0,000";"1,56";"1,56";"0,00";"0,00";"0,22";"0,00";"0,04";"0,18";"0,00";"0,00";"0,00";"0,00";"0,00"
"1,86";"CARLIN : LARANJA BAIANA KG";"378";"KG 1";"0,044";"0,40";"0,00";"0,07";"0,00";"16,56";"34,78";"25,81";"0,07";"0,00";"16,56";"0,000";"0,00";"0,000";"0,30";"0,30";"0,00";"0,00";"0,04";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"2,17";"CARLIN : LICHIA BANDEJA 450g";"18824";"UN 1";"5,250";"104,95";"0,31";"53,24";"0,56";"50,73";"149,88";"59,98";"53,24";"0,56";"50,73";"2,861";"0,20";"0,005";"42,00";"42,00";"0,00";"0,00";"9,71";"0,00";"1,73";"7,98";"0,00";"0,00";"0,00";"0,00";"0,00"
"2,17";"CARLIN : LIMA DA PÉRSIA Kg ";"383";"KG 1";"0,086";"0,56";"0,00";"0,12";"0,00";"21,41";"44,22";"30,66";"0,12";"0,00";"21,41";"0,000";"0,00";"0,000";"0,39";"0,39";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"2,17";"CARLIN : MAMÃO FORMOSA PEDAÇOS COPO KG";"392";"KG 1";"0,062";"0,50";"0,00";"0,26";"0,00";"53,20";"166,33";"62,45";"0,26";"0,00";"53,20";"0,000";"0,00";"0,000";"0,19";"0,19";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"2,17";"CARLIN : MAMÃO PAPAYA PEDAÇOS COPO KG";"394";"KG 1";"0,027";"0,53";"0,00";"0,11";"0,00";"20,71";"42,79";"29,96";"0,11";"0,00";"20,71";"0,000";"0,00";"0,000";"0,37";"0,37";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,22";"CARLIN : MAMÃO PAPAYA UNID";"21730";"UN 1";"259,000";"1.033,41";"3,05";"937,82";"9,86";"90,75";"";"100,00";"937,82";"9,86";"90,75";"147,630";"10,41";"0,259";"0,00";"0,00";"0,00";"0,00";"95,59";"0,00";"17,05";"78,54";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,22";"CARLIN : MANDIOCA Kg";"396";"KG 1";"0,295";"1,47";"0,00";"0,30";"0,00";"20,61";"42,57";"29,86";"0,30";"0,00";"20,61";"0,000";"0,00";"0,000";"1,03";"1,03";"0,00";"0,00";"0,14";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,22";"CARLIN : MANDIOQUINHA SALSA Kg";"397";"KG 1";"0,104";"1,46";"0,00";"0,46";"0,00";"31,18";"67,88";"40,43";"0,46";"0,00";"31,18";"0,000";"0,00";"0,000";"0,87";"0,87";"0,00";"0,00";"0,14";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,22";"CARLIN : MARACUJÁ DOCE Kg";"419";"KG 1";"0,066";"1,31";"0,00";"0,22";"0,00";"16,96";"35,53";"26,21";"0,22";"0,00";"16,96";"0,000";"0,00";"0,000";"0,97";"0,97";"0,00";"0,00";"0,12";"0,00";"0,02";"0,10";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,25";"CARLIN : MARACUJÁ POLPA Kg";"420";"KG 1";"0,296";"8,87";"0,03";"1,80";"0,02";"20,29";"41,93";"29,54";"1,80";"0,02";"20,29";"0,000";"0,00";"0,000";"6,25";"6,25";"0,00";"0,00";"0,82";"0,00";"0,15";"0,67";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,26";"CARLIN : MAÇÃ GALINHA PINTADINHA PCT 850g";"19084";"KG 1";"0,164";"2,46";"0,01";"0,59";"0,01";"24,04";"49,90";"33,29";"0,59";"0,01";"24,04";"0,000";"0,00";"0,000";"1,64";"1,64";"0,00";"0,00";"0,23";"0,00";"0,04";"0,19";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,32";"CARLIN : MAÇÃ NAC FISCHER MOINHO AZUL 850g";"18847";"UN 1";"2,430";"21,85";"0,06";"19,82";"0,21";"90,75";"";"100,00";"19,82";"0,21";"90,75";"0,002";"0,00";"0,002";"0,00";"0,00";"0,00";"0,00";"2,02";"0,00";"0,36";"1,66";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,44";"CARLIN : MAÇÃ NACIONAL TOM AND JERRY PC 850g";"18803";"UN 1";"4,040";"40,36";"0,12";"36,63";"0,39";"90,75";"";"100,00";"36,63";"0,39";"90,75";"0,004";"0,00";"0,004";"0,00";"0,00";"0,00";"0,00";"3,73";"0,00";"0,67";"3,07";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,46";"CARLIN : MELANCIA BABY S/ SEMENTE Kg";"427";"KG 1";"0,910";"5,45";"0,02";"1,67";"0,02";"30,65";"66,39";"39,90";"1,67";"0,02";"30,65";"0,001";"0,00";"0,001";"3,28";"3,28";"0,00";"0,00";"0,50";"0,00";"0,09";"0,41";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,47";"CARLIN : MELANCIA BABY TREBESCHI SEM SEMENTE";"428";"KG 1";"0,658";"3,28";"0,01";"2,98";"0,03";"90,75";"";"100,00";"2,98";"0,03";"90,75";"0,001";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"0,30";"0,00";"0,05";"0,25";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,47";"CARLIN : MELANCIA PEDAÇOS COPO KG";"432";"KG 1";"0,009";"0,17";"0,00";"0,04";"0,00";"20,71";"42,79";"29,96";"0,04";"0,00";"20,71";"0,000";"0,00";"0,000";"0,12";"0,12";"0,00";"0,00";"0,02";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,47";"CARLIN : MELÃO AMARELO PEDAÇOS COPO KG";"443";"KG 1";"0,009";"0,27";"0,00";"0,06";"0,00";"21,79";"45,02";"31,04";"0,06";"0,00";"21,79";"0,000";"0,00";"0,000";"0,18";"0,18";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,47";"CARLIN : MELÃO DINO KG";"437";"KG 1";"0,019";"0,23";"0,00";"0,11";"0,00";"49,05";"139,80";"58,30";"0,11";"0,00";"49,05";"0,000";"0,00";"0,000";"0,10";"0,10";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,47";"CARLIN : MELÃO ESPANHOL REDE Kg";"439";"KG 1";"0,035";"0,19";"0,00";"0,05";"0,00";"23,35";"48,38";"32,60";"0,05";"0,00";"23,35";"0,000";"0,00";"0,000";"0,13";"0,13";"0,00";"0,00";"0,02";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,69";"CARLIN : MELÃO NA REDE Kg";"441";"KG 1";"5,656";"73,47";"0,22";"15,77";"0,17";"21,47";"44,33";"30,72";"15,77";"0,17";"21,47";"0,006";"0,00";"0,006";"50,90";"50,90";"0,00";"0,00";"6,80";"0,00";"1,21";"5,58";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,70";"CARLIN : MELÃO ORANGE Kg";"442";"KG 1";"0,174";"2,43";"0,01";"0,32";"0,00";"13,31";"29,14";"22,56";"0,32";"0,00";"13,31";"0,000";"0,00";"0,000";"1,88";"1,88";"0,00";"0,00";"0,23";"0,00";"0,04";"0,19";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,70";"CARLIN : MILHO VERDE 750g";"18822";"UN 1";"0,064";"0,25";"0,00";"0,05";"0,00";"20,57";"42,50";"29,82";"0,05";"0,00";"20,57";"0,000";"0,00";"0,000";"0,18";"0,18";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,70";"CARLIN : MILHO VERDE C/PALHA";"19504";"UN 1";"0,026";"0,03";"0,00";"0,01";"0,00";"28,73";"61,25";"37,98";"0,01";"0,00";"28,73";"0,000";"0,00";"0,000";"0,02";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,71";"CARLIN : MIX DE FRUTAS COPO Kg ";"452";"KG 1";"0,159";"4,78";"0,01";"-0,19";"0,00";"-3,94";"10,50";"9,50";"-0,19";"0,00";"-3,94";"0,000";"0,00";"0,000";"4,33";"3,67";"0,00";"0,00";"1,30";"0,86";"0,08";"0,36";"0,00";"0,00";"0,00";"0,02";"0,00"
"5,71";"CARLIN : MIX FRUTAS C/ LEITE CONDENSADO Kg";"450";"KG 1";"0,015";"0,77";"0,00";"0,02";"0,00";"2,93";"21,37";"17,61";"0,02";"0,00";"2,93";"0,000";"0,00";"0,000";"0,63";"0,54";"0,00";"0,00";"0,21";"0,14";"0,01";"0,06";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,71";"CARLIN : MIX FRUTAS Kg";"457";"KG 1";"0,014";"0,57";"0,00";"0,03";"0,00";"5,23";"25,52";"20,33";"0,03";"0,00";"5,23";"0,000";"0,00";"0,000";"0,46";"0,39";"0,00";"0,00";"0,16";"0,10";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,71";"CARLIN : MORANGO PEDAÇOS COM LEITE COND CP";"460";"KG 1";"0,007";"0,35";"0,00";"0,02";"0,00";"4,90";"24,88";"19,92";"0,02";"0,00";"4,90";"0,000";"0,00";"0,000";"0,28";"0,24";"0,00";"0,00";"0,09";"0,06";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,72";"CARLIN : MORANGO PEDAÇOS COPO KG";"461";"KG 1";"0,094";"3,76";"0,01";"3,41";"0,04";"90,75";"";"100,00";"3,41";"0,04";"90,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,35";"0,00";"0,06";"0,29";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,90";"CARLIN : MORANGUINHO RIUL 300g PREMIUM";"21626";"UN 1";"4,000";"59,96";"0,18";"14,41";"0,15";"24,04";"49,90";"33,29";"14,41";"0,15";"24,04";"1,564";"0,11";"0,004";"40,00";"40,00";"0,00";"0,00";"5,55";"0,00";"0,99";"4,56";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,91";"CARLIN : NECTARINA IMPORT KG";"462";"KG 1";"0,071";"2,83";"0,01";"1,51";"0,02";"53,24";"166,60";"62,49";"1,51";"0,02";"53,24";"0,000";"0,00";"0,000";"1,06";"1,06";"0,00";"0,00";"0,26";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,92";"CARLIN : NECTARINA NACIONAL Kg";"463";"KG 1";"0,210";"3,98";"0,01";"0,82";"0,01";"20,54";"42,43";"29,79";"0,82";"0,01";"20,54";"0,000";"0,00";"0,000";"2,79";"2,79";"0,00";"0,00";"0,37";"0,00";"0,07";"0,30";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,95";"CARLIN : OVOS CODORNA ESTRELA DA SERRA 1KG OVOS";"3479";"UN 1";"0,303";"9,53";"0,03";"1,38";"0,01";"14,54";"31,21";"23,79";"1,38";"0,01";"14,54";"0,461";"0,03";"0,000";"7,26";"7,26";"0,00";"0,00";"0,88";"0,00";"0,16";"0,72";"0,00";"0,00";"0,00";"0,00";"0,00"
"5,99";"CARLIN : OVOS CODORNA SANTO DOURADO 500g";"818";"UN 1";"0,674";"14,82";"0,04";"1,99";"0,02";"13,44";"29,35";"22,69";"1,99";"0,02";"13,44";"0,526";"0,04";"0,001";"11,46";"11,46";"0,00";"0,00";"1,37";"0,00";"0,24";"1,13";"0,00";"0,00";"0,00";"0,00";"0,00"
"6,00";"CARLIN : OVOS MANTIQUEIRA CAIPIRA ORG C/10 VERM";"6997";"UN 1";"0,098";"1,95";"0,01";"0,34";"0,00";"17,21";"35,99";"26,46";"0,34";"0,00";"17,21";"0,000";"0,00";"0,000";"1,44";"1,44";"0,00";"0,00";"0,18";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,00";"0,00"
"6,04";"CARLIN : OVOS MANTIQUEIRA CAIPIRA VERM C/10";"7008";"UN 1";"0,851";"12,76";"0,04";"3,49";"0,04";"27,37";"57,79";"36,62";"3,49";"0,04";"27,37";"0,568";"0,04";"0,001";"8,09";"8,09";"0,00";"0,00";"1,18";"0,00";"0,21";"0,97";"0,00";"0,00";"0,00";"0,00";"0,00"
"6,24";"CARLIN : OVOS MANTIQUEIRA EXTRA BRANCO C/10";"20127";"UN 1";"7,680";"69,04";"0,20";"62,66";"0,66";"90,75";"";"100,00";"62,66";"0,66";"90,75";"0,008";"0,00";"0,008";"0,00";"0,00";"0,00";"0,00";"6,39";"0,00";"1,14";"5,25";"0,00";"0,00";"0,00";"0,00";"0,00"
"6,24";"CARLIN : OVOS MANTIQUEIRA EXTRA VERM C/20 PVC";"7114";"UN 1";"0,064";"1,15";"0,00";"0,31";"0,00";"26,83";"56,43";"36,08";"0,31";"0,00";"26,83";"0,000";"0,00";"0,000";"0,74";"0,74";"0,00";"0,00";"0,11";"0,00";"0,02";"0,09";"0,00";"0,00";"0,00";"0,00";"0,00"
