"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"69,23";"ROBERTO : CASTANHA CAJU LA VIOLETERA 100g TORRADA/SALGADA";"6796";"UN 1";"2,000";"26,99";"53,98";"0,04";"0,00";"0,00";"0,00";"3,94";"7,87";"0,02";"14,58";"55,92";"35,87";"34,62";"32,30";"0,00";"0,00";"0,00";"13,81";"0,00";"0,00";"0,00";"0,00";"7,87";"0,02";"19,59";"0,240";"0,00";"0,210";"0,001";"53.980,000";"15,00";"89,98";"29,99";"0,00";"0,00";"0,00"
"69,24";"ROBERTO : CEREAL KELLOGGS SUCRILHOS 90g OVOMALTINE";"19437";"UN 1";"1,000";"7,99";"7,99";"0,01";"0,00";"0,00";"0,00";"0,64";"0,64";"0,00";"8,01";"50,75";"33,67";"5,30";"5,30";"0,00";"0,00";"0,00";"2,05";"0,00";"0,00";"0,00";"0,00";"0,64";"0,00";"10,77";"0,102";"0,00";"0,000";"0,000";"0,000";"5,30";"63,59";"5,30";"0,00";"0,00";"0,00"
"69,28";"ROBERTO : CEREAL NESTON NESTLÉ 360g 3 CEREAIS";"10259";"UN 1";"3,000";"19,99";"59,97";"0,04";"0,00";"0,00";"0,00";"4,86";"14,59";"0,04";"24,33";"59,49";"37,30";"37,60";"30,03";"0,00";"0,00";"0,00";"15,35";"0,00";"0,00";"0,00";"0,00";"14,59";"0,04";"32,70";"1,455";"0,02";"1,092";"0,007";"8.567,143";"10,26";"92,36";"30,79";"0,00";"0,00";"0,00"
"69,29";"ROBERTO : CHAMPIGNON LA VIOLETERA SC 90g INTEIRO";"6892";"UN 1";"1,000";"8,99";"8,99";"0,01";"0,00";"0,00";"0,00";"1,55";"1,55";"0,00";"17,24";"32,40";"24,47";"6,79";"5,14";"0,00";"0,00";"0,00";"2,30";"0,00";"0,00";"0,00";"0,00";"1,55";"0,00";"23,17";"0,190";"0,00";"0,000";"0,000";"0,000";"4,66";"69,84";"4,66";"0,00";"0,00";"0,00"
"69,30";"ROBERTO : CHAMPIGNON VALE FÉRTIL SC 100g INTEIRO";"10637";"UN 1";"1,000";"8,99";"8,99";"0,01";"0,00";"0,00";"0,00";"2,51";"2,51";"0,01";"27,92";"67,72";"40,38";"5,36";"4,18";"0,00";"0,00";"0,00";"2,30";"0,00";"0,00";"0,00";"0,00";"2,51";"0,01";"37,53";"0,155";"0,00";"0,160";"0,001";"8.990,000";"4,01";"44,13";"4,01";"0,00";"0,00";"0,00"
"69,31";"ROBERTO : CHIC BUBBALOO 50g MORANGO";"5965";"UN 1";"2,000";"3,99";"7,98";"0,01";"0,00";"0,00";"0,00";"1,06";"2,12";"0,01";"26,57";"66,95";"40,10";"4,78";"3,82";"0,00";"0,00";"0,00";"2,04";"0,00";"0,00";"0,00";"0,00";"2,12";"0,01";"35,72";"0,108";"0,00";"0,100";"0,001";"7.980,000";"2,01";"96,72";"4,03";"0,00";"0,00";"0,00"
"69,31";"ROBERTO : CHIC BUBBALOO 50g TUTTI FRUTI";"5958";"UN 1";"1,000";"3,99";"3,99";"0,00";"0,00";"0,00";"0,00";"1,06";"1,06";"0,00";"26,57";"66,95";"40,10";"2,39";"1,91";"0,00";"0,00";"0,00";"1,02";"0,00";"0,00";"0,00";"0,00";"1,06";"0,00";"35,72";"0,054";"0,00";"0,050";"0,000";"0,000";"1,96";"93,88";"1,96";"0,00";"0,00";"0,00"
"69,31";"ROBERTO : CHICLETE FINI 80g MELANCIA";"14012";"UN 1";"1,000";"5,00";"5,00";"0,00";"7,89";"0,01";"157,80";"0,77";"0,77";"0,00";"15,40";"27,88";"21,80";"3,91";"2,95";"0,00";"0,00";"0,00";"1,28";"0,00";"0,00";"0,00";"0,00";"0,77";"0,00";"20,69";"0,087";"0,00";"0,080";"0,000";"0,000";"4,31";"60,28";"4,31";"0,00";"0,00";"0,00"
"69,34";"ROBERTO : CHOC B HERSHEYS 73% AMARG DARK 85g";"1879";"UN 1";"3,000";"15,99";"47,97";"0,03";"0,00";"0,00";"0,00";"5,18";"15,53";"0,04";"32,37";"55,49";"35,69";"30,85";"28,00";"0,00";"0,00";"0,00";"4,44";"0,00";"0,00";"0,00";"0,00";"15,53";"0,04";"35,67";"0,267";"0,00";"0,255";"0,000";"0,000";"9,33";"9,33";"28,00";"0,00";"0,00";"0,00"
"69,35";"ROBERTO : CHOC B HERSHEYS AO LEITE 82g ";"1970";"UN 1";"1,000";"8,49";"8,49";"0,01";"0,00";"0,00";"0,00";"2,14";"2,14";"0,01";"25,21";"38,27";"27,68";"6,14";"5,57";"0,00";"0,00";"0,00";"0,79";"0,00";"0,00";"0,00";"0,00";"2,14";"0,01";"27,78";"0,083";"0,00";"0,000";"0,000";"0,000";"5,57";"27,83";"5,57";"0,00";"0,00";"0,00"
"69,36";"ROBERTO : CHOC B LACTA 80g AO LEITE";"6004";"UN 1";"2,000";"10,99";"21,98";"0,01";"0,00";"0,00";"0,00";"3,48";"6,95";"0,02";"31,62";"53,49";"34,85";"14,32";"13,00";"0,00";"0,00";"0,00";"2,03";"0,00";"0,00";"0,00";"0,00";"6,95";"0,02";"34,84";"0,170";"0,00";"0,160";"0,000";"0,000";"6,56";"72,14";"13,12";"0,00";"0,00";"0,00"
