"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Venda";"Quantidade Perda";"% Part. Qt.Perda";"Tot Perda  Liquido";"Tot Perda  Bruto";"% Partic. Cto Lanc.";"Vlr Tot.Perda Preço Atual";"% Partic. Prec.Atual";"% Vlr. Perda / Vlr.Cto Estq";"Impostos  Vda Realizada";"Lucratividade Valor Perdido";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Perdida";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"Custo Fiscal Total";"IBS MUN s/Venda";"IBS UF s/Venda";"CBS s/Venda";"IS s/Venda"
"28,52";"CARLIN : PIMENTA CHAPÉU PADRE Kg";"490";"KG 1";"0,800";"0,17";"8,80";"8,80";"0,22";"13,59";"0,23";"-1,11";"0,00";"3,53";"0,32";"26,01";"54,45";"35,26";"3,53";"0,32";"26,01";"0,001";"0,04";"0,001";"8,80";"8,80";"0,00";"0,00";"1,26";"0,00";"0,22";"1,03";"0,00";"8,81";"0,00";"0,00";"0,00";"0,00"
"28,58";"CARLIN : PIMENTA VERMELHA Kg";"502";"KG 1";"0,200";"0,04";"2,40";"2,40";"0,06";"3,20";"0,05";"1,22";"0,00";"0,50";"0,05";"15,70";"33,25";"24,95";"0,50";"0,05";"15,70";"0,000";"0,00";"0,000";"2,40";"2,40";"0,00";"0,00";"0,30";"0,00";"0,05";"0,24";"0,00";"2,28";"0,00";"0,00";"0,00";"0,00"
"28,68";"CARLIN : PIMENTÃO AMARELO Kg";"504";"KG 1";"0,700";"0,15";"3,85";"3,85";"0,10";"16,09";"0,28";"1,17";"0,00";"10,75";"0,99";"66,83";"318,00";"76,08";"10,75";"0,99";"66,83";"0,001";"0,04";"0,001";"3,85";"3,85";"0,00";"0,00";"1,49";"0,00";"0,27";"1,22";"0,00";"3,95";"0,00";"0,00";"0,00";"0,00"
"28,72";"CARLIN : PIMENTÃO VERDE Kg";"511";"KG 1";"0,300";"0,06";"1,70";"1,70";"0,04";"3,60";"0,06";"0,40";"0,00";"1,56";"0,14";"43,49";"111,59";"52,74";"1,56";"0,14";"43,49";"0,000";"0,00";"0,000";"1,70";"1,70";"0,00";"0,00";"0,33";"0,00";"0,06";"0,27";"0,00";"1,96";"0,00";"0,00";"0,00";"0,00"
"31,32";"CARLIN : PITAYA Kg";"516";"KG 1";"17,800";"3,85";"103,24";"103,24";"2,60";"231,22";"3,97";"8,40";"0,00";"106,59";"9,78";"46,10";"123,97";"55,35";"106,59";"9,78";"46,10";"0,018";"0,64";"0,018";"103,24";"103,24";"0,00";"0,00";"21,39";"0,00";"3,82";"17,57";"0,00";"103,85";"0,00";"0,00";"0,00";"0,00"
"36,10";"CARLIN : PÊRA ARGENTINA Kg";"476";"KG 1";"14,878";"3,22";"190,11";"190,11";"4,78";"153,09";"2,63";"9,09";"0,00";"-51,17";"-4,69";"-33,43";"-19,47";"-24,18";"-51,17";"-4,69";"-33,43";"0,015";"0,54";"0,015";"190,11";"190,11";"0,00";"0,00";"14,16";"0,00";"2,53";"11,64";"0,00";"215,00";"0,00";"0,00";"0,00";"0,00"
"36,45";"CARLIN : PÊSSEGO NACIONAL Kg";"485";"KG 1";"1,846";"0,40";"13,85";"13,85";"0,35";"31,36";"0,54";"-6,06";"0,00";"14,62";"1,34";"46,61";"126,53";"55,86";"14,62";"1,34";"46,61";"0,002";"0,07";"0,002";"13,85";"13,85";"0,00";"0,00";"2,90";"0,00";"0,52";"2,38";"0,00";"13,85";"0,00";"0,00";"0,00";"0,00"
"38,48";"CARLIN : TOMATE EXTRA Kg";"23";"KG 1";"12,400";"2,68";"80,60";"80,60";"2,03";"49,48";"0,85";"14,32";"0,00";"-35,70";"-3,28";"-72,16";"-38,62";"-62,91";"-35,70";"-3,28";"-72,16";"0,012";"0,43";"0,012";"80,60";"80,60";"0,00";"0,00";"4,58";"0,00";"0,82";"3,76";"0,00";"50,16";"0,00";"0,00";"0,00";"0,00"
"38,65";"IARA : BOLO SECO DE COCO GELADO Kg";"18213";"KG 1";"0,404";"0,09";"6,71";"7,92";"0,17";"16,16";"0,28";"";"0,00";"6,02";"0,55";"37,25";"104,19";"51,03";"6,02";"0,55";"37,25";"0,000";"0,00";"0,000";"7,91";"6,70";"0,00";"0,00";"3,43";"1,94";"0,27";"1,23";"0,00";"6,45";"0,00";"0,00";"0,00";"0,00"
"39,06";"IARA : BOMBA DE CHOCOLATE Kg";"18250";"KG 1";"0,730";"0,16";"16,45";"19,58";"0,41";"30,65";"0,53";"-403,69";"0,00";"7,24";"0,66";"23,62";"54,76";"35,38";"7,24";"0,66";"23,62";"0,001";"0,04";"0,001";"19,81";"16,90";"0,00";"0,00";"6,51";"3,68";"0,51";"2,33";"0,00";"16,90";"0,00";"0,00";"0,00";"0,00"
"39,48";"IARA : BOMBA DE DOCE DE LEITE Kg";"18253";"KG 1";"0,796";"0,17";"16,55";"19,32";"0,42";"33,42";"0,57";"-84,62";"0,00";"9,76";"0,90";"29,21";"74,57";"42,72";"9,76";"0,90";"29,21";"0,001";"0,04";"0,001";"19,15";"16,56";"0,00";"0,00";"7,10";"4,01";"0,55";"2,54";"0,00";"17,40";"0,00";"0,00";"0,00";"0,00"
